Timestamp,Open,High,Low,Close,Volume
2025-05-19 09:15:00,6.65,7.05,5.65,6.1,980
2025-05-19 09:30:00,6.05,6.4,5.4,5.8,707
2025-05-19 09:45:00,5.75,6.2,5.7,6.05,349
2025-05-19 10:00:00,5.9,6.1,5.6,5.6,344
2025-05-19 10:15:00,5.6,5.6,4.35,5.05,1437
2025-05-19 10:30:00,5.05,5.25,4.8,5.1,516
2025-05-19 10:45:00,5.2,5.4,4.85,5.1,415
2025-05-19 11:00:00,5.1,5.2,4.7,4.95,314
2025-05-19 11:15:00,4.95,5,4.15,4.7,730
2025-05-19 11:30:00,4.7,4.75,4.25,4.7,574
2025-05-19 11:45:00,4.7,4.8,4.55,4.75,264
2025-05-19 12:00:00,4.75,5.15,4.75,4.95,294
2025-05-19 12:15:00,5,5.15,4.55,4.55,329
2025-05-19 12:30:00,4.6,4.65,4.3,4.5,371
2025-05-19 12:45:00,4.55,4.55,4.2,4.35,283
2025-05-19 13:00:00,4.35,4.65,4.35,4.55,188
2025-05-19 13:15:00,4.55,4.65,4.4,4.55,174
2025-05-19 13:30:00,4.5,4.75,4.5,4.65,130
2025-05-19 13:45:00,4.65,4.95,4.6,4.9,322
2025-05-19 14:00:00,4.95,6.05,4.95,5.7,830
2025-05-19 14:15:00,5.65,6.1,5.45,5.9,488
2025-05-19 14:30:00,5.9,6.1,5.5,5.7,215
2025-05-19 14:45:00,5.8,6.2,5.75,5.9,256
2025-05-19 15:00:00,5.9,6,5.6,5.95,319
2025-05-19 15:15:00,5.95,6.1,5.7,5.85,437
2025-05-20 09:15:00,5.05,6.3,4.45,6.2,806
2025-05-20 09:30:00,6.1,6.55,5.7,6.25,732
2025-05-20 09:45:00,6.25,6.7,6,6.2,505
2025-05-20 10:00:00,6.3,6.5,5.65,5.75,382
2025-05-20 10:15:00,5.75,6.2,5.75,5.95,150
2025-05-20 10:30:00,5.95,6.05,5.2,5.35,249
2025-05-20 10:45:00,5.3,5.65,5.1,5.5,216
2025-05-20 11:00:00,5.4,6.05,5.3,5.9,124
2025-05-20 11:15:00,5.95,6.15,5.7,6.1,323
2025-05-20 11:30:00,6.1,6.35,5.9,6.35,193
2025-05-20 11:45:00,6.25,6.65,6.1,6.2,341
2025-05-20 12:00:00,6.25,6.3,5.9,6.25,209
2025-05-20 12:15:00,6.2,6.2,6,6.05,101
2025-05-20 12:30:00,6.1,6.1,5.75,5.95,90
2025-05-20 12:45:00,6.05,7.2,6.05,7.05,601
